"Freq [GHz]","Phase [deg]","Distance [mm]","Mag_H [A_per_meter]","Mag_H_1 [A_per_meter]","Mag_H_2 [A_per_meter]","Mag_H_3 [A_per_meter]","Mag_H_4 [A_per_meter]","Mag_H_5 [A_per_meter]","Mag_H_6 [A_per_meter]","Mag_H_7 [A_per_meter]","Mag_H_8 [A_per_meter]","Mag_H_9 [A_per_meter]","Mag_H_10 [A_per_meter]","Mag_H_11 [A_per_meter]"
0.001,0,52.800352,0.00296901052388175,0.00892930756433135,0.00288458905083091,0.009235717213738,0.00692358173696214,0.0072319562949921,0.00731218122163915,0.00761290640144558,0.00287883766537001,0.0091258061954521,0.0089598578012603,0.00280713342233003
0.001,0,53.400356,0.00297002932916508,0.00890882209946071,0.00288024593143445,0.00920525008484871,0.00701999209193457,0.0073219394808329,0.00743831485591086,0.00770322113456117,0.00287392224652529,0.00910574288444964,0.0089582735799742,0.0027974843679395
0.001,0,54.00036,0.00297103472717592,0.00888823770977531,0.00287591588548003,0.00917444569644891,0.0071247760792465,0.00744204782100208,0.00756590581951113,0.00779429741407868,0.00286904140528028,0.00907534665565432,0.00895696527583093,0.00278803045238847
0.001,0,54.600364,0.00296319439186587,0.00886754780945318,0.00287159853847277,0.00914331089673505,0.00723102848947192,0.00756273689017202,0.00769495061981545,0.00788613507477886,0.00286419567838785,0.0090442137034436,0.00895592948643508,0.00277877421799191
0.001,0,55.200368,0.00295257895523833,0.00884674610665365,0.0028672935184459,0.00911185284239845,0.00733875084735552,0.00768401024065918,0.00779937440859681,0.00797873395001052,0.00285938560766229,0.00901270092765656,0.00895516283453687,0.00276971820662414
0.001,0,55.800372,0.00294200956161515,0.00882582660351736,0.00286220990713125,0.0090728829288906,0.00744794464642543,0.00780587140095597,0.00790120619650397,0.00807209387169074,0.00285461173997935,0.00898080786152067,0.00895466196803212,0.00276086495971881
0.001,0,56.400376,0.00293148548580849,0.00880478359616629,0.00285652815176397,0.00902533358848652,0.00755861134899332,0.00792832387573082,0.00804170945915327,0.00816621467030474,0.00284987462727624,0.00894853422466551,0.00895442355996224,0.00275221701826893
0.001,0,57.00038,0.00292100601212854,0.0087836116747037,0.00285083707914618,0.00897811406827181,0.00767075238615437,0.00805137114582813,0.00819130770428229,0.00826109617490584,0.00284517482655162,0.00891587992312283,0.0089544443085143,0.00274377692282685
0.001,0,57.600384,0.00291057043438351,0.0087623057232142,0.00284513706474757,0.00893122280140976,0.00778436915778719,0.00817501666826828,0.00834217313080401,0.00835673821311561,0.00284051289986558,0.00888284504932654,0.00895472093702092,0.00273554721350426
0.001,0,58.200388,0.00290017805587962,0.00874086091976369,0.00283942849126988,0.00888465820030936,0.00789946303255397,0.00829926387624768,0.00849430649451574,0.00845314061112371,0.00283588941433969,0.00884942988211262,0.0089552501939604,0.0027275304299722
0.001,0,58.800392,0.00288982818942113,0.00871927273639938,0.00283371174864688,0.00883841865662566,0.00801603534790035,0.0084241161791387,0.00864770853992004,0.00855030319368803,0.00283130494215695,0.00881563488671923,0.00895602885295658,0.00271972911146105
0.001,0,59.400396,0.00287952015731029,0.00869753693914987,0.00282798723404438,0.00879250254125947,0.00813408741005548,0.00854957696248966,0.00880238000022465,0.00864822578413452,0.00282676006056183,0.00878146071478671,0.00895705371277897,0.00271214579676054
0.001,0,60.0004,0.0028692532913474,0.00867564958802494,0.00282225535186021,0.00874690820435747,0.00825362049403202,0.00867564958802494,0.00895832159734265,0.00874690820435747,0.00282225535186021,0.00874690820435747,0.00895832159734265,0.00270478302421973
