"Freq [GHz]","Phase [deg]","Distance [mm]","Mag_H [A_per_meter]"
0.001,0,30.1275375375375,0.0223649523941105
0.001,0,30.2475675675676,0.0223028508429305
0.001,0,30.3675975975976,0.02224078599294
0.001,0,30.4876276276276,0.0221787578476633
0.001,0,30.6076576576577,0.0221167664107625
0.001,0,30.7276876876877,0.0220548116860363
0.001,0,30.8477177177177,0.0219928936774212
0.001,0,30.9677477477477,0.0219310123889905
0.001,0,31.0877777777778,0.0218691678249549
0.001,0,31.2078078078078,0.0218073599896625
0.001,0,31.3278378378378,0.0217455888875985
0.001,0,31.4478678678679,0.0216838545233853
0.001,0,31.5678978978979,0.0216221569017826
0.001,0,31.6879279279279,0.0215604960276873
0.001,0,31.807957957958,0.0214988719061338
0.001,0,31.927987987988,0.0214372845422932
0.001,0,32.048018018018,0.0213757339414744
0.001,0,32.168048048048,0.0213142201091232
0.001,0,32.2880780780781,0.0212527430508228
0.001,0,32.4081081081081,0.0211913027722936
0.001,0,32.5281381381381,0.0211298992793932
0.001,0,32.6481681681682,0.0210685325781166
0.001,0,32.7681981981982,0.0210072026745957
0.001,0,32.8882282282282,0.0209459095751
0.001,0,33.0082582582583,0.0208846532860361
0.001,0,33.1282882882883,0.020823433813948
0.001,0,33.2483183183183,0.0207622511655165
0.001,0,33.3683483483483,0.0207011053475601
0.001,0,33.4883783783784,0.0206399963670344
0.001,0,33.6084084084084,0.0205789242310321
0.001,0,33.7284384384384,0.0205183615206432
0.001,0,33.8484684684685,0.0204641494851957
0.001,0,33.9684984984985,0.020409973127739
0.001,0,34.0885285285285,0.0203558324497779
0.001,0,34.2085585585586,0.0203017274528676
0.001,0,34.3285885885886,0.020247658138614
0.001,0,34.4486186186186,0.0201936245086733
0.001,0,34.5686486486486,0.0201396265647523
0.001,0,34.6886786786787,0.0200856643086081
0.001,0,34.8087087087087,0.0200317377420484
0.001,0,34.9287387387387,0.0199778468669311
0.001,0,35.0487687687688,0.0199239916851648
0.001,0,35.1687987987988,0.0198701721987086
0.001,0,35.2888288288288,0.0198163884095718
0.001,0,35.4088588588589,0.0197626403198143
0.001,0,35.5288888888889,0.0197089279315466
0.001,0,35.6489189189189,0.0196552512469294
0.001,0,35.7689489489489,0.019601610268174
0.001,0,35.888978978979,0.0195480049975421
0.001,0,36.009009009009,0.0194944354373458
0.001,0,36.129039039039,0.0194409015899479
0.001,0,36.2490690690691,0.0193874034577614
0.001,0,36.3690990990991,0.0193339410432499
0.001,0,36.4891291291291,0.0192805143489274
0.001,0,36.6091591591592,0.0192271233773583
0.001,0,36.7291891891892,0.0191737681311576
0.001,0,36.8492192192192,0.0191204486129906
0.001,0,36.9692492492492,0.0190671648255732
0.001,0,37.0892792792793,0.0190139167716716
0.001,0,37.2093093093093,0.0189607044541026
0.001,0,37.3293393393393,0.0189075278757334
0.001,0,37.4493693693694,0.0188543870394817
0.001,0,37.5693993993994,0.0188012819483155
0.001,0,37.6894294294294,0.0187482126052535
0.001,0,37.8094594594595,0.0186951790133646
0.001,0,37.9294894894895,0.0186420632299474
0.001,0,38.0495195195195,0.0185887261894767
0.001,0,38.1695495495495,0.0185354510266539
0.001,0,38.2895795795796,0.0184822377398768
0.001,0,38.4096096096096,0.0184290863275691
0.001,0,38.5296396396396,0.0183759967881809
0.001,0,38.6496696696697,0.0183229691201884
0.001,0,38.7696996996997,0.0182700033220944
0.001,0,38.8897297297297,0.0182170993924275
0.001,0,39.0097597597598,0.018164257329743
0.001,0,39.1297897897898,0.0181114771326221
0.001,0,39.2498198198198,0.0180587587996725
0.001,0,39.3698498498498,0.018006102329528
0.001,0,39.4898798798799,0.0179535077208487
0.001,0,39.6099099099099,0.0179009749723209
0.001,0,39.7299399399399,0.0178485040826574
0.001,0,39.84996996997,0.0177960950505969
0.001,0,39.97,0.0177437478749046
0.001,0,40.09003003003,0.0176914625543719
0.001,0,40.2100600600601,0.0176392390878164
0.001,0,40.3300900900901,0.017587077474082
0.001,0,40.4501201201201,0.0175349777120387
0.001,0,40.5701501501501,0.0174829398005831
0.001,0,40.6901801801802,0.0174309637386378
0.001,0,40.8102102102102,0.0173790495251517
0.001,0,40.9302402402402,0.0173271971590999
0.001,0,41.0502702702703,0.0172754066394839
0.001,0,41.1703003003003,0.0172236779653312
0.001,0,41.2903303303303,0.017172011135696
0.001,0,41.4103603603604,0.0171204061496582
0.001,0,41.5303903903904,0.0170688630063244
0.001,0,41.6504204204204,0.0170173817048273
0.001,0,41.7704504504504,0.0169659622443257
0.001,0,41.8904804804805,0.0169146046240049
0.001,0,42.0105105105105,0.0168633088430763
0.001,0,42.1305405405405,0.0168120749007776
0.001,0,42.2505705705706,0.0167609027963728
0.001,0,42.3706006006006,0.0167097925291521
0.001,0,42.4906306306306,0.016658744098432
0.001,0,42.6106606606607,0.0166077575035552
0.001,0,42.7306906906907,0.0165568327438906
0.001,0,42.8507207207207,0.0165059698188335
0.001,0,42.9707507507507,0.0164551687278053
0.001,0,43.0907807807808,0.0164044294702539
0.001,0,43.2108108108108,0.0163537520456531
0.001,0,43.3308408408408,0.0163031364535034
0.001,0,43.4508708708709,0.016252582693331
0.001,0,43.5709009009009,0.0162020907646889
0.001,0,43.6909309309309,0.0161516606671559
0.001,0,43.810960960961,0.0161012924003375
0.001,0,43.930990990991,0.016050985963865
0.001,0,44.051021021021,0.0160007413573963
0.001,0,44.171051051051,0.0159505585806154
0.001,0,44.2910810810811,0.0159004376332325
0.001,0,44.4111111111111,0.0158503785149843
0.001,0,44.5311411411411,0.0158003812256335
0.001,0,44.6511711711712,0.015750445764969
0.001,0,44.7712012012012,0.0157001187078019
0.001,0,44.8912312312312,0.0156493687610536
0.001,0,45.0112612612613,0.0155987185286183
0.001,0,45.1312912912913,0.0155481680140037
0.001,0,45.2513213213213,0.0154977172207737
0.001,0,45.3713513513514,0.0154473661525487
0.001,0,45.4913813813814,0.0153971148130057
0.001,0,45.6114114114114,0.0153469632058776
0.001,0,45.7314414414414,0.0152969113349539
0.001,0,45.8514714714715,0.0152469592040806
0.001,0,45.9715015015015,0.0151971068171598
0.001,0,46.0915315315315,0.0151473541781502
0.001,0,46.2115615615616,0.0150977012910668
0.001,0,46.3315915915916,0.0150481481599808
0.001,0,46.4516216216216,0.0149986947890199
0.001,0,46.5716516516516,0.0149493411823682
0.001,0,46.6916816816817,0.0149000873442661
0.001,0,46.8117117117117,0.0148509332790104
0.001,0,46.9317417417417,0.0148018789909543
0.001,0,47.0517717717718,0.0147529244845074
0.001,0,47.1718018018018,0.0147040697641354
0.001,0,47.2918318318318,0.0146553148343606
0.001,0,47.4118618618619,0.0146066596997616
0.001,0,47.5318918918919,0.014560913036349
0.001,0,47.6519219219219,0.0145166732928499
0.001,0,47.7719519519519,0.0144724453873192
0.001,0,47.891981981982,0.0144282293177145
0.001,0,48.012012012012,0.0143840250820413
0.001,0,48.132042042042,0.0143398326783531
0.001,0,48.2520720720721,0.0142956521047516
0.001,0,48.3721021021021,0.0142514833593862
0.001,0,48.4921321321321,0.0142073264404546
0.001,0,48.6121621621622,0.0141631813462025
0.001,0,48.7321921921922,0.0141190480749235
0.001,0,48.8522222222222,0.0140749266249594
0.001,0,48.9722522522522,0.0140318095524855
0.001,0,49.0922822822823,0.0139904797158624
0.001,0,49.2123123123123,0.0139492022582596
0.001,0,49.3323423423423,0.0139079772012969
0.001,0,49.4523723723724,0.0138668045666498
0.001,0,49.5724024024024,0.01382568437605
0.001,0,49.6924324324324,0.0137846166512853
0.001,0,49.8124624624625,0.0137436014141994
0.001,0,49.9324924924925,0.0137026386866923
0.001,0,50.0525225225225,0.0136617284907199
0.001,0,50.1725525525525,0.013620870848294
0.001,0,50.2925825825826,0.0135800657814826
0.001,0,50.4126126126126,0.01353931331241
0.001,0,50.5326426426426,0.0134986134632559
0.001,0,50.6526726726727,0.0134579662562568
0.001,0,50.7727027027027,0.0134173717137047
0.001,0,50.8927327327327,0.0133768298579479
0.001,0,51.0127627627628,0.0133363407113907
0.001,0,51.1327927927928,0.0132959042964934
0.001,0,51.2528228228228,0.0132555206357724
0.001,0,51.3728528528528,0.0132151897518001
0.001,0,51.4928828828829,0.0131749116672051
0.001,0,51.6129129129129,0.0131346864046718
0.001,0,51.7329429429429,0.0130945139869408
0.001,0,51.852972972973,0.0130543944368089
0.001,0,51.973003003003,0.0130143277771285
0.001,0,52.093033033033,0.0129743140308086
0.001,0,52.2130630630631,0.0129343532208139
0.001,0,52.3330930930931,0.0128944453701651
0.001,0,52.4531231231231,0.0128545905019392
0.001,0,52.5731531531531,0.0128147886392691
0.001,0,52.6931831831832,0.0127750398053438
0.001,0,52.8132132132132,0.0127380325700407
0.001,0,52.9332432432432,0.0127027985685549
0.001,0,53.0532732732733,0.0126676337094852
0.001,0,53.1733033033033,0.0126325379938701
0.001,0,53.2933333333333,0.012597511422815
0.001,0,53.4133633633634,0.0125625539974925
0.001,0,53.5333933933934,0.012527665719142
0.001,0,53.6534234234234,0.0124928465890704
0.001,0,53.7734534534534,0.0124580966086513
0.001,0,53.8934834834835,0.0124234157793255
0.001,0,54.0135135135135,0.0123888041026009
0.001,0,54.1335435435435,0.0123542615800523
0.001,0,54.2535735735736,0.0123197882133218
0.001,0,54.3736036036036,0.0122853840041183
0.001,0,54.4936336336336,0.0122510489542181
0.001,0,54.6136636636637,0.0122167830654642
0.001,0,54.7336936936937,0.0121825863397669
0.001,0,54.8537237237237,0.0121484587791034
0.001,0,54.9737537537538,0.0121144003855182
0.001,0,55.0937837837838,0.0120804111611226
0.001,0,55.2138138138138,0.0120464911080952
0.001,0,55.3338438438438,0.0120126402286814
0.001,0,55.4538738738739,0.011978858525194
0.001,0,55.5739039039039,0.0119451460000125
0.001,0,55.6939339339339,0.0119115026555838
0.001,0,55.813963963964,0.0118779284944216
0.001,0,55.933993993994,0.0118444235191068
0.001,0,56.054024024024,0.0118109877322873
0.001,0,56.174054054054,0.0117776211366782
0.001,0,56.2940840840841,0.0117443237350614
0.001,0,56.4141141141141,0.0117110955302862
0.001,0,56.5341441441441,0.0116779365252687
0.001,0,56.6541741741742,0.0116448467229921
0.001,0,56.7742042042042,0.0116118261265067
0.001,0,56.8942342342342,0.0115788747389301
